After-Shave and Pre-Shave Lotions;33.07
Agar-Agar;13.02
Agate; 71
Agave Fibres, not spun;53.05
Agglomerated Dolomite;25.18
Agglomerated Slate, worked and articles thereof;68.03
Agglomerating Machinery;84.74 OR 84.79
Agitators (Textile Machines);84.48
Agricultural machinery;84.32 OR 84.36
Agricultural machinery for soil preparation or cultivation;84.32
Agricultural Machinery, other;84.33 OR 84.36 OR 84.37
Agricultural Hand Tools;82.01
Agricultural Tractor Engines;84.0 OR 84.08
Agricultural Tractors;87.01
Agricultural Trailers and parts;87.16
Ailerons;88.03
Air Heaters, non-electric, iron or steel;73.22
Air pre-heaters for boilers;84.04
Air pumps and compressors;84.14
Air rifles and air pistols;93.04
Air conditioning machinery;84.15
Air cushion vehicles; 86. OR 87 OR 88
Air, Liquid Compressed;28.53
Airbeds of rubberised textile fabric;63.06
Aircraft;88.02
Aircraft jet and Gas Turbine Engines;84.11
Aircraft Launching Gear;88.05
Aircraft parts - electrical radio and radar; 85
Aircraft parts - Jet and Gas Turbines;84.11
Aircraft parts - Pistons;84.07 OR 84.08
Aircraft parts - Navigational Instruments; 90
Aircraft parts - Other (but see Section XIII Notes ) ;88.03
Aircraft parts - Aircraft Piston Engines (Uses) ;84.09
Airers;85.16
Airships;88.01
Alabaster, Crude;25.15
Alabaster, worked and articles thereof;68.02
Alarm clocks - with watch movements;91.03
Alarm Clocks - other than with watch movements;91.05
Alarms - Burglar;85.31
Alarms - Fire;85.31 OR 90.27
Alarms - Flame;85.31 OR 85.36 OR 90.27
Alarms - Gas;85.31 OR 90.27 OR 90.31
Alarms - Smoke;85.31 OR 90.22 OR 90.27
Albardin Grass;14.04
Albumins, Albuminates and other Albumin Derivatives;35.02
Albums;48.20
Alcohol - Acyclic;29.05
Alcohol - Cyclic;29.03
Alcohol - Fatty, chemically defined;29.05
Alcohol - Fatty, industrial;38.23
Aldehyde Acids;29.18
Aldehyde - Function Compounds;29.12 OR 29.13
Alfalfa (Lucerne) Seed;12.09
Algae;12.12 OR 21.02 OR 30.06
Alkali or Alkaline - Earth ~Metals;28.05
Alkaline iron oxide (for gas purification);38.24
Alkalois, Vegetable;29.39
Alkyd Resins;39.07
Alkyl Phenol Ethoxylates;34.02
ALkylbenzenes;27.07 OR 29.02 OR 38.17
Alkylnaphthalenes;27.07 OR 29.02 OR 38.17
Allergy Testing Devices;90.31
Alloys;Section 15
Allspice - Dried;09.04
Allspice - Fresh;07.09
All Terrain Vehicles (ATV);87.01 OR 87.03
Alluvium;25.30
Almond Nuts - Fresh or Dried;08.02
Almond Nuts - roasted or salted;20.08
Alpaca Hair - not carded or combed;51.02
Alpaca Hair - carded or combed;51.05
Alsike Seed;12.09
Altars;94.03
Altimeters - Navigational;90.14
Altimeters - Barometric;90.25
Altimeters - Radio;85.26
Alternators;85.11
Aluminates;28.41
Aluminium Oxide;28.18
Aluminium Paste;32.12
Aluminium, including alloys; 76
Articles of Aluminium not elsewhere specified or included;76.16
Aluminium Bars Rods and profiles;76.04
Aluminium Calcium Phosphates, natural;25.10
Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any materials (other than compressed or liquefied gas) of a capacity not exceeding 300 litres;76.12
Aluminium Containers for compress or liquefied gas;76.13
Aluminium foil of a thickness (excluding any backing) not exceeding 0.2mm;76.07
Aluminium Hydroxide;28.18
Aluminium ores and concentrates;26.06
Aluminium Oxide;28.18
Aluminium plates sheets and strips of a thickness exceeding 0.2mm;76.06
Aluminium pot scourers and scouring or polishing pads, gloves and the like;76.15
Aluminium Powders and Flakes;76.03
Aluminium Reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 Litres;76.11
Aluminium sanitary ware and parts thereof;76.15
Aluminium stranded wire, cable, plaited bands and the like, not electrically insulated;76.14
Aluminium structures (excluding prefabricated buildings see 94.06) and parts of structures;76.10
Aluminium table, kitchen or other household articles and parts thereof;76.15
Aluminium tubes or pipe fittings;76.09
Aluminium tubes and pipes;76.08
Aluminium unwrought;76.01
Aluminium waste and scrap;76.02
Aluminium wire;76.05
Alums;28.33
Amalgams - of precious metals;28.43
Amalgams -Other;28.51
Amaryllis;06.01
Ambarihemp, not spun;05.03
Amber, crude;25.30
Amber, worked;96.02
Ambergis;05.10
Ambulances - Motor;87.03
Ambulances - Railway;86.05
Amethyst; 71
Amino-resins;39.09
Ammeters;90.30
Ammeters, parts;90.30 OR 90.33
Ammolite; 71
Ammonia;28.14
Ammonical gas liquors;38.24
Ammonium Zinc Chloride;28.42
Ammonium Nitrate;31.02
Ammonium Phosphates;28.35 OR 31.05
Ammonium Sulphonitrates;31.02
Ammunition;93.06
Amperemeters;90.30
Amphibious Vehicles - Aircraft;88.02
Amphibious Vehicles - Motor;87.03
Amphibious Vehicles - Tanks;87.10
Amplifier Tubes and Valves;85.40
Amplifiers, Audio-Frequency;85.18
Amplifiers, Audio-Frequency 5.1 Surround Sound;85.43
Amplifiers, Cable Television;85.43
Amplifiers, high or intermediate frequency;85.43
Amplitude Meters;90.31
Ampoule Files (saws);82.02
Ampoules, Glass;70.10
Amusement Machines;95.04
Anaesthetic Instruments;90.18
Anaesthetics;30.03
Analogue to Digital Converters;85.43
Anchors, Iron or Steel;73.16
Anchovies;Chapter 3
Andalusite;25.08
Anemometers;90.15 OR 90.22 OR 90.26
Anemone;06.01
Angle dozers;84.29
Angles (Profiles) - Aluminium;76.04
Angle (Profiles) - Copper;74.07
Angles (Profiles) - Iron or Steel;72.16 OR 72.22 OR 72.28 OR 73.01
Angles (Profiles) - Lead;78.06
Angles (Profiles) - Magnesium;81.04
Angles (Profiles) - Nickel;75.05
Angles (Profiles) - Tin;80.03
Angles (Profiles) - Zinc;79.04
Anglesite;26.07
Angora Hair - not carded or combed;51.02
Angora Hair - carded or combed;51.05
Angostura Bark;12.11
Animal Black;38.02
Animal Feed Preparations;2309
Animal Hair Clippers (machinery);84.36
Animal or Vegetable fats and oils machinery;84.79
Animal Toilet Preparations;33.07
Animals, Dead (unfit for human consumption);05.11
Animals, LIVE; 1
Animals, Stuffed;97.05
Anise Seeds;09.09
Ankle Socks;61.15
Anoraks (including Ski-Jackets) - Knitted or Crocheted Women's or Girls;61.02
Anoraks (including Ski-Jackets) - Other than Knitted or Crocheted Women's or Girls;62.02
Anoraks (including Ski-Jackets) - Knitted or Crocheted Men's or Boys;61.01
Anoraks (including Ski-Jackets) - Other than Knitted or Crocheted Men's or Boys;62.01
Anthracene;27.07 OR 29.02
Anthracene Black;28.03
Anthracite;27.01
Anti-corrosive and Anti-Fouling Compositions;32.08 OR 32.10
Anti-Freezing Preparations;38.20
Anti-Histamine Medicaments;30.03 OR 30.04
Anti-Icing preparations;38.11
Anti-Knock Preparations;38.11
Anti Rust Preparations;27.10 OR 34.03 OR 38.24
Anti Scaling Compounds;38.24
Anti - Sprouting products;38.08
Anti Tank Guns;93.01
Antibiotics;29.41 OR 30.03 OR 30.04
Antimacassars;63.04
Antimonates;28.41
Antimony ores and concentrates;26.17
Antiperspirants;33.07
Antiques;97.06
Antisera;30.02
Antlers;05.07
Antlers, mounted;97.05
Anvils;82.05
Aperitifs;22.05 OR 22.08
Apparatus for Games and Sports; 95
Apparel - Fur, Artificial (except Headgear and Footwear);43.04
Apparel - Furskin ( except Headgear and Footwear);43.03
Apparel - Imitation Fur, Knitted Fabric; 61
Apparel - Imitation Fur, Woven Fabric; 62
Apparel - Headgear; 65
Apparel - Knitted or Crocheted; 61
Apparel - Leather;42.03
Apparel - Plastics;39.26
Apparel - Rubber;40.15
Apparel - Worn, in Bulk Packing's;63.09
Apparel - Woven, Non Woven; 62
Apple Pomade, Dried;23.08
Apples;Chapter 08
Appliances Wire, Electrical Insulated;85.44
Appliqué Work;58.10
Apricot Kernels;12.12
Apricots;Chapter 08
Aprons;61.14 OR 62.11
Aptitude Testing Apparatus;90.19
Aqueous Solutions of Essential Oils;33.01
Aqueous Distillates of Essential Oils;33.01
Arabic, Gum;13.01
Aramids; 54 OR 55
Arc-Lamp Carbons;85.45
Arc Lamps;85.39
Archery Equipment, Sport;95.06
Archery Equipment, Toy;95.03
Architectural Plans and Drawings;49.06
Areca and Cola Nuts;08.02
Argentan Lace;58.04
Argol;23.07
Arm Chairs;94.01
Armaments; 93
Armlets;62.12
Armoured Fighting Vehicles and Parts;87.10
Arrowroot, Fresh or Dried;07.14
Arenates;28.42
Arsenic Sulphides, Natural;25.30
Arsenic;28.04
Arenites;28.42
Art, Work of; 97
Artificial - Body Parts;90.21
Artificial - Flower, Foliage or Fruit;67.02
Artificial - Graphite;38.01
Artificial - Honey;17.02
Artificial - Stone, Articles of;68.10
Artificial - Waxes;34.04
Artillery Weapons;93.04
Artists Colours;32.13
Artists Brushes;96.03
Asbestos, Articles of;68.12 OR 68.13
Asbestos, Crude and Waste;25.24
Asbestos - Cement Working machinery;84.64
Asbestos - Cement, Articles of;68.11
Ash Dischargers;84.16
Ash;26.18 OR 26.21
Asparagus;Chapter 07
Asphalt, Natural;27.14
Aspirator Separators;84.37
Aspirin (Acetylsalicylic Acid) - Tableted or Compounded;30.03 OR 30.04
Aspirin (Acetylsalicylic Acid) Other;29.18
Assay Balances;90.16
Asses;01.01
Astro Turf; 39 OR 57
Astronomical Instruments;90.05
Athletic Equipment;95.06
Atlases;49.05
Audiometers;90.18
Auger Bits;82.07
Auriscopes;90.18
Autoclaves;84.19
Automata (Animated Shop Window Display);96.18
Automatic Stop Motions, Textile;84.48
Automatic Door Closers, Base Metal;83.02
Automatic Data Processing Machines and Unit Thereof - Central Processing Units (see Motherboards);84.71
Automatic Data Processing Machines and Unit Thereof - Floppy Disc Drives (see Storage Units);84.71
Automatic Data Processing Machines and Units Thereof - hard Disc Drives (see Storage Units);84.71
Automatic Data Processing Machines and Units Thereof - Input Units (Keyboards, Scanners, etc);8471
Automatic Data Processing Machines and Units Thereof - Keyboards (see Input Units Above);84.71
Automatic Data Processing Machines and Units Thereof - Laptops;84.7130
Automatic Data Processing Machines and Units Thereof - Memories, Single Chip (Drams Etc);85.42
Automatic Data Processing Machines and Units Thereof - Memories, mounted on Boards (Drams etc);84.73 OR 85.48
Automatic Data Processing Machines and Units Thereof - Monitors;85.28
Automatic Data Processing Machines and Units Thereof - Motherboards, with Processor and Memory;84.71
Automatic Data Processing Machines and Units Thereof - Motherboards, without Processor and Memory.;84.73
Automatic Data Processing Machines and Units Thereof - Mouse;84.71
Automatic Data Processing Machines and Units Thereof - Output Units (Except Monitors and Printers);84.71
Automatic Data Processing Machines and Units Thereof - Parts (Subject to Note 2 to Section XVI) and Accessories;84.73
A Automatic Data Processing Machines and Units Thereof -  Printers;84.43
Automatic Data Processing Machines and Units Thereof -  Scanners (See Input Units)
Automatic Data Processing Machines and Units Thereof -  Servers;84.71
Automatic Data Processing Machines and Units Thereof - Storage Units;8471
Automatic Data Processing Machines and Units Thereof -Trackball;84.71
Automatic Data Processing Machines and Units Thereof -  Workstations;84.71
Automatics, Bars and Chucks; 84.58
Automatic Teller Machines (ATMS);8472
Auxiliary Boiler Plant;84.04
Aviation Fuel (Kerosene Type);27.10
Aviation Fuel (Spirit Type);27.10
Avocados Fresh or Dried;08.04
Awnings, Textile;63.06
Axes;82.01
Axles for Motor Vehicles;87.08
Axles, Tyres and Wheels, for Railway and Tramway Rolling Stock;86.07
Axminster Carpets;57.02
Azides;28.50
Babies' Garments and Clothing Accessories - Knitted or Crocheted;61.11
Babies' Garments and Clothing Accessories - Other than Knitted or Crocheted;62.09
Baby Carriages and Parts;87.15
Back Cloths;58.07
Backsaws;82.02
Backward Waves Oscillators and Amplifiers;85.43
Backwashing Machines;84.45
Bacon;02.10
Bacon, Canned, prepared or Preserved;16.02
Bacon, Prepared or Preserved;16.02
Badges, Woven Textile, Not Embroidered;58.07
Badian Seeds;09.09
Baffles (Filter Parts);84.21
Bag and Envelope Making Machinery;84.41
Bagasse;23.02
Bagasse Pulp;47.06
Bagetelle Tablets;95.04
Bagpipes;92.05
Bags - Designed for Prolonged use, of Leather, Plastics, Textile or Paperboard;42.02
Bags, for packing of goods, of Woven Textile materials;63.02
Bags, Paper;48.19
Bags of Plastic Sheeting, for packing of goods (with Handles);39.23
Bags of Plastic Sheeting Designed for Prolonged use, for packing of goods;39.23
Bags, Travelling of Leather, Plastic Sheeting, Textile or Paperboard;42.02
Bahia Piassava;14.03
Bakery and Biscuit Machinery;84.38
Bakeware, Aluminium;76.15
Baking Powder, Prepared;21.02
Balanced Beams (Gymnastics);95.06
Balances, of a sensitivity of 5CG or better, with or without weights;90.16
Balata;40.01
Bale Breakers;84.45
Bale Rollers;84.33
Baler Twine;56.07
Balers, Pick Up (Agricultural);84.33
Ball Bearings;84.82
Ball Clay;25.08
Ballasts (Electrical);85.04
Ball Point Pens;96.08
Ballet Skirts;61.14 OR 62.11
Ballet Shoes, Ballroom Shoes and Jazz Shoes;64.02 OR 64.03 OR 64.04
Ballistic Missiles;93.06
Ballonets;88.03
Balloons;88.01
Balloons, Toy;95.03
Balls - for Ball Bearings;84.82
Balls - for use in Grinding and Crushing Mills of Iron or Steel;73.25 AND 73.26
Balls - Sports;95.06
Balls - Steel;73.25 OR 73.26
Balls - Toys;95.03
Balsams;13.01
Balustrades - Aluminium;76.10
Balustrades - Ceramic;69.05
Balustrades - Iron or Steel;73.08
Balustrades - Plastic;39.25
Balustrades - Stone;68.02
Balustrades - Zinc;79.07
Bamboo Canes;14.01
Bamboo Flooring;44.12
Bananas, including Plantains, Fresh or Dried;08.03
Bandage Splints;90.21
Bandages and Plasters;30.05
Banding Machine;84.22
Bands (for Machinery etc);42.05
Bands, of Plaited Iron or Steel Wire;73.12
Bands, Rubber (e.g. Office Equipment);40.16
Bandsaw, Blades;82.02
Banknotes;49.07
Banknote Counting Machines;84.72
Banner (Textile);63.07
Barbecues (Iron or Steel);73.21
Barbed Wire, Iron or Steel;73.13
Barbiturates - Tableted or Compounded;30.03 OR 30.04
Barbiturates - Other;29.33
Bar Code Optical Readers;84.71
Barbetters (Resistors);85.33
Barges;89.01
Barium Carbonate, Natural (Witherite);25.11
Barium Oxide;28.16
Barium Sulphate, Natural (Baryites);25.11
Bark, Cinchona;12.11
Bark, for use in Perfumery, Pharmacy, Insecticide, etc;12.11
Barley;10.03 OR 11.02 OR 11.03 OR 11.04
Barographs;90.25
Barometers;90.25
Barrels, Wood;44.16
Barretters;85.33
Barrier Creams;33.04
Bars - Aluminium;76.04
Bars - Copper;74.07
Bars - Iron or Steel;72.13 TO 72.15 OR 72.21 OR 72.22 OR 72.27 OR 72.28
Bars - Lead;78.06
Bars - Magnesium;81.04
Bars - Nickel;75.05
Bars - Tin;80.03
Bars - Zinc;79.04
Basalt, Crude;25.16
Basalt, Fused, Articles of;68.15
Base Stations (Mobile Phones);85.17
Basic Slag;31.03
Basket Work;46.02
Bassines;50.03
Bath Salts and Other Bath Preparations;33.07
Bathing Caps;65.06
Bathing Costumes; 62 OR 62
Bathing Slippers; 64
Bathrobes;61.07 OR 61.08 OR 62.07 OR 62.08
Baths of Plastics;39.22
Baths of Iron or Steel;73.24
Bats (Toy);95.03
Bats Sports;95.06
Battenboard;44.12
Batteries, Electric, Non - Rechargeable;85.06
Waste and Scrap Batteries;85.48
Battery Carbons;85.45
Battery Chargers;85.04
Bauxite and Concentrates;26.06
Bauxite, Activated;38.02
Bauxite, Calcined (Refractory Grade);38.24
Bay Leaves;09.10
Bayonets;93.07
Beacons (Marine);89.07
Beading, Wood;44.09
Beads, Base Metal, Unstrung;83.08
Beads, Glass;70.18
Beans - Cocoa;18.01
Beans - Field, including Horse and Tic;07.13
Beans - Leguminous, Edible;Chapter 07
Beans - Leguminous, for Sowing;07.13
Beans - Locust, Whole, Kibbled or Ground;12.12
Beans - Soya;12.01
Bearing Housings;84.83
Bearings - Ball, Roller or Needle Roller;84.82
Bearings - Plain Shaft (Not of Carbon or Graphite);84.83
Beauty Preparations;33.04
Beauvais Tapestries;58.05
Bed Linen;63.02
Bedding, Stuffed or Sprung, Excluding Bed Linen;94.04
Beds;94.01 OR 94.02 OR 94.03
Bedspreads;63.04
Bedsprings (Single);73.20
Bedsprings, Combination (Mattress Supports);94.04
Bedsteads (Metal);94.03
Bee-Keeping Machinery;84.36
Beef - Corned;16.02
Beef - Fresh, Chilled or Frozen;02.01 AND 02.02
Beef - prepared or Preserved;16.02
Beef - Salted, in Brine, Dried or Smoked;02.10
Beef - Tongues, Canned, prepared or Otherwise Preserved;16.02
Beer Coolers, Refrigerated;84.18
Beer, malt;22.03
Beer-Coolers, Non-Refrigerated;84.19
Bees;01.06
Beeswax;15.21
Beet Pulp;23.03
Beet Seeds;12.09
Bell Domes, Base Metal;83.06
Bellows - Musical;92.09
Bellows - Photographic;90.06
Bellows - Powder;84.24
Bellows - Thermostatic (Short Flexible Metal Tubing);83.07
Bells, Electric;85.31
Bells, Non-Electric Base Metal;83.06
Belts (Textile, Other Thank Knitted) for Apparel;62.17
Belts and Belting, Transmission or Conveyor - leather;42.05
Belts and Belting, Transmission or Conveyor - Plastics;39.20 OR 39.21 OR 39.26
Belts and Belting, Transmission or Conveyor - Rubber and Rubber/Textile Combinations;40.10
Belts and Belting, Transmission or Conveyor - Textile Material (Not Containing Rubber);59.10
Benares Hemp;53.03
Bengal Matches;36.04
Bentonite;25.08
Benzene;27.07 OR 27.02
Benzole;27.07
Berets;65.05
Berries, Fresh;08.10
Beryllium;81.12
Beta Radiation Apparatus;90.22
Betrons;85.43
Betel Nuts, Fresh or Dried;08.02
Beverages, Alcoholic or Non-Alcoholic; 22
Bib and Brace Overalls - Knitted or Crocheted Men's or Boys;61.03
Bib and Brace Overalls - Other than Knitted or Crocheted Men's and Boys;62.03
Bib And Brace Overalls -  Knitted Or Crocheted Women's Or Girls;61.04
Bib And Brace Overalls -  Other Than Knitted Or Crocheted Women's Or Girls;62.04
Bib And Brace Overalls -  Bicarbonate Of Soda (Sodium Bicarbonate;28.36 OR 30.04
Bicycles, Children's;87.12
Bicycles Other;87.12
Bidets -  Aluminium;76.15
Bidets -  Ceramic;69.10
Bidets -  Copper;74.18
Bidets -  Iron Or Steel;73.24
Bidets - Plastic;39.22
Bile;05.10
Bill Hooks;82.01
Billiard Tables;95.04
Bimli Jute;53.03
Bimlipatam;53.03
Binders -  Of Paper Or Paperboard;48.20
Binders - Of Plastic;39.26
Bindings Machines- Agricultural;84.33
Bindings Machines- Book ;84.40
Binoculars, Refracting ;90.05
Bins - Storage (Furniture);94.02 Or 94.03
Bins Wastepaper;39.26 Or 46.02 Or 73.26 Or 74.19 Or 76.16
Biodiesel;38.24
Biodiesel Blended With Petrol;38.24 Or 27.10
Birds Skins And Other Parts Of Birds With Their Feathers Or Down (Other Than Goods Of 05.05);67.01
Birds Nests (Edible);01.10
Birds (Other Than Poultry);01.06
Birthday Cards;49.09
Biscuits;19.05
Biscuits Covered In Chocolate;19.05
Bismuth, Metal;81.06
Bits, Drilling;82.07
Bitumen, Natural;27.14
Bitumen, Petroleum;27.13
Bituminous - Asphalts (Manufactured And Emulsions;27.15
Bituminous - Mineral Oils, Crude;27.09
Bituminous - Mixtures And Mastics;27.15
Bituminous - Paints;32.10
Bituminous - Shale;27.14
Black , Animal;38.02
Blackboards (Computerised;84.71
Bladders, Animal;05.04
Bladders, Fish;05.11
Blades - Bandsaw;82.02
Blades - Cutting, For Machines Or Mechanical Appliances;82.08
Blades - Knife;82.11
Blades - Safety Razor;82.12
Blades - Saw, For Hand Or Machine Saws;82.02
Blades - Scissors;82.13
Blanching Plant;84.19 Or 84.38
Blanket-Stitching Machine;84.52
Blankets - Electric (Textile);63.01
Blankets - Other Textile;63.01
Blanks, Records, Tapes, Etc;85.23
Blasting Machines;84.24
Blazes;50.03
Bleaching Machines For Textiles;84.51
Blinds - Aluminium;96.16
Blinds - Base Metal Fittings;83.02
Blinds - Glass Beads;70.18
Blinds - Iron Or Steel;73.26
Blinds - Plastics;39.25
Blinds - Textile;63.03
Blinds - Wood;44.21
Blister Copper;74.02
Block board;44.12
Blocks, Pulley;84.83
Blood, Animal;05.11
Block, Animal For Therapeutic Uses;30.02
Blood-Grouping Reagents;30.06
Blood, Human;30.02
Blouses Shirts And Shirt-Blouses - Knitted Or Crocheted Women's Or Girls;61.06
Blouses Shirts And Shirt-Blouses - Other Than Knitted Or Crocheted Women's Or Girls;62.06
Blown Glass Sheets;70.04
Blow Moulding Machines;84.77
Blow Lamps;82.05
Boards, With Writing Or Drawing Surfaces;96.10
Boats;89.01 Or 89.02 Or 89.03 Or 89.04
Bobbin Lace;58.04
Bobbin-Net Fabrics;58.04
Bobbins - For Spinning And Weaving Of Iron Or Steel;73.26
Bobbins - Of Paper;48.22
Bobbins - Of Plastic;39.23
Bobbins - Of Wood;44.21
Bobbinet-Making Machines;84.47
Bodice-Fronts;61.17 Or 62.17
Bodies (Including Cabs) For Motor Vehicles;87.07
Bodkins, Iron Or Steel;73.19
Body Belts;62.12
Body Lotions;33.04
Bogies;86.07 Or 87.16
Boiler Suits;61.14 Or 62.11
Boilers Sugar;84.19
Boilers, Central Heating Other Than Generating Boilers Of Iron Or Steel;84.03
Boilers, Steam And Other Vapour Generating;84.02
Bolduc;58.06
Bollards - Iron Or Steel (Cast);73.25
Bollards - Plastic;39.26
Bollards - Stone;68.02
Bolster Cases;63.02
Bolt Clippers;82.03
Bolt Croppers;82.03
Bolting Cloth;59.11
Bolts (For The Securing Of Doors, Window, Etc) Of Base Metal;83.02
Bolts And Nuts, Of Nickel;75.08
Bolts, Iron Or Steel;73.18
Bomb Calorimeters;90.27
Bombay Hemp;53.03
Bombs;93.06
Bond, Share And Stock Certificates;49.07
Bone Black;38.02
Bone Worked;96.01
Bone-Working Machinery;84.56 Or 84.65
Bone And Bone Pieces, Meal And Powder;05.06
Book-Binding And Book-Sewing Machinery;84.40
Bookcases;94.03
Bookcloth;59.01
Books - Children's Pictures, Drawing Or Colouring;49.03
Books - Other Printed;49.01
Boot And Shoe (Leather) Machinery;84.53
Boots;64.02 Or 64.03 Or 64.04
Borates And Perborates;28.40
Borates And Concentrates (Crude, Natural);25.28
Borax (Sodium Tetraborate);28.40
Borders (Decoration Of Paper);48.14
Boric Oxide;28.10
Boric Acid - Crude Natural;25.28
Boric Acid - Other;28.10
Borides;28.50
Boring And Sinking Machines;84.30
Boring Machines, Metal Working;84.59
Boron;28.04
Bottle Cleaning And Drying Machines;84.22
Bottles - Plastic;39.23
Bottles - Glass;70.10 Or 70.13
Bouquets - Artificial;67.02
Bouquets - Other;06.03 Or 06.04
Bovine Animals (Live);01.02
Bowstring Hemp (Sansevieria);53.05
Boxes Iron Or Steel;73.10 Or 73.26
Boxes Of Wood;44.15
Boxes Of Aluminium;76.12 Or 76.16
Boxes Of Paper Or Paperboard;48.19
Boxes Of Tin;80.07
Braces (Clothing);62.12
Braces, Carpenters;82.05
Braid Making Machines;84.47
Braid, Textile, In The Piece;58.08
Brake Linings Mounted;87.08
Brake Linings Unmounted;68.13
Branches;06.03 Or 06.04
Brandy;22.08
Brans, Sharps And Other Residues - Cereals;23.02
Brans, Sharps And Other Residues - Leguminous Vegetables;23.02
Brans, Sharps And Other Residues - Rice;23.02
Brass (Alloy Of Copper And Zinc);Chapter 74
Brassards;62.17
Brassieres;62.12
Brazil Nuts, Fresh Or Dried;08.01
Brazing Appliances, Gas Operated;84.68
Brazing Powders And Pastes;38.10
Brazing Machines And Apparatus Electric;85.15
Bread And Breadcrumbs;19.05
Breakdown Lorries;87.05
Breaker Machines - Bale;84.45
Breaker Machines - Ceramic Clay;84.74
Breaker Machines - Cheese;84.34
Breaker Machines - Milling;84.37
Breaker Machines - Pig Iron;84.79
Breaker Machines - Oil Cake;84.36
Breaker Machines - Rag;84.39 Or 84.45
Breaker Machines - Sugar;84.38
Breaker Machines - Textile;84.51
Breathalysers;90.27
Breathing Appliances;90.19 Or 90.20
Breeches - Knitted Or Crocheted Men's Or Boys;63.01
Breeches - Other Than Knitted Or Crocheted Men's Or Boys;62.03
Breeches - Knitted Or Crocheted Women's Or Girls;61.04
Breeches - Other Than Knitted Or Crocheted Women's Of Girls;62.04
Brewers Pitch;38.07
Brewery Machinery;84.38
Brick making Machinery;84.74
Bricks And Blocks - Concrete, Including Refractory Concrete;68.10
Bricks And Blocks - Non Refractory, Clay;69.04
Bricks And Blocks - Refractory - Chemically Bonded;68.15
Bricks And Blocks - Refractory -  Fired Bricks And Blocks - Refractory - After Shaping;69.02
Bricks And Blocks - Refractory - Of Siliceous Fossil Meals Or Earth;69.01
Bricks And Blocks - Refractory - Fusion Cast;68.15
